2023-11-21 13:34:29,090 INFO    StreamThr :3460 [internal.py:wandb_internal():86] W&B internal server running at pid: 3460, started at: 2023-11-21 13:34:29.090552
2023-11-21 13:34:29,090 DEBUG   HandlerThread:3460 [handler.py:handle_request():144] handle_request: status
2023-11-21 13:34:29,106 INFO    WriterThread:3460 [datastore.py:open_for_write():85] open: E:\AI\Deep-learning-exercises\personal implementation\thesis\wandb\run-20231121_133429-ymcsvzxy\run-ymcsvzxy.wandb
2023-11-21 13:34:29,106 DEBUG   SenderThread:3460 [sender.py:send():375] send: header
2023-11-21 13:34:29,164 DEBUG   SenderThread:3460 [sender.py:send():375] send: run
2023-11-21 13:34:30,727 INFO    SenderThread:3460 [dir_watcher.py:__init__():219] watching files in: E:\AI\Deep-learning-exercises\personal implementation\thesis\wandb\run-20231121_133429-ymcsvzxy\files
2023-11-21 13:34:30,738 INFO    SenderThread:3460 [sender.py:_start_run_threads():1124] run started: ymcsvzxy with start time 1700544869.090551
2023-11-21 13:34:30,738 DEBUG   SenderThread:3460 [sender.py:send_request():402] send_request: summary_record
2023-11-21 13:34:30,730 DEBUG   HandlerThread:3460 [handler.py:handle_request():144] handle_request: check_version
2023-11-21 13:34:30,738 INFO    SenderThread:3460 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-11-21 13:34:30,738 DEBUG   SenderThread:3460 [sender.py:send_request():402] send_request: check_version
2023-11-21 13:34:31,733 INFO    Thread-16 :3460 [dir_watcher.py:_on_file_created():278] file/dir created: E:\AI\Deep-learning-exercises\personal implementation\thesis\wandb\run-20231121_133429-ymcsvzxy\files\wandb-summary.json
2023-11-21 13:34:31,845 DEBUG   HandlerThread:3460 [handler.py:handle_request():144] handle_request: run_start
2023-11-21 13:34:31,875 DEBUG   HandlerThread:3460 [system_info.py:__init__():31] System info init
2023-11-21 13:34:31,875 DEBUG   HandlerThread:3460 [system_info.py:__init__():46] System info init done
2023-11-21 13:34:31,875 INFO    HandlerThread:3460 [system_monitor.py:start():181] Starting system monitor
